gene	corr	pvalue	gene_mod	pc_mod
ENSG00000118292.8	0.788528848795108	2.41109367582742e-21	4	12
ENSG00000213585.10	0.788658118374096	2.35101966153363e-21	1	3
ENSG00000023697.12	0.788672615708369	2.34437394197304e-21	6	1
ENSG00000159069.13	0.788690763298384	2.33608064992948e-21	1	10
ENSG00000144959.9	0.788786398294102	2.29284536746903e-21	1	14
ENSG00000141404.15	0.788850976759973	2.26409146935091e-21	1	6
ENSG00000086504.15	0.78888114415405	2.25077972960267e-21	1	10
ENSG00000137267.5	0.788938385721497	2.22573005965225e-21	1	10
ENSG00000144619.14	0.789020506675897	2.1902656811724e-21	1	6
ENSG00000108395.13	0.789105303863039	2.15422233435501e-21	1	6
ENSG00000260257.2	0.789211457774062	2.10991346302837e-21	1	6
ENSG00000063015.19	0.789240887318348	2.09778723457595e-21	1	6
ENSG00000130340.15	0.789334699425525	2.05958323806008e-21	3	1
ENSG00000105290.11	0.789397343171767	2.03444985667361e-21	3	12
ENSG00000128245.14	0.789461047821747	2.00919676539088e-21	1	6
ENSG00000261678.2	0.789515892792383	1.98770011211717e-21	1	6
ENSG00000167619.11	0.789533013036286	1.98103570273644e-21	1	6
ENSG00000135454.13	0.789610791803245	1.9510312905405e-21	1	10
ENSG00000204852.15	0.789658410496116	1.93288019764477e-21	4	13
ENSG00000131023.12	0.789874149597259	1.85268220435878e-21	6	1
ENSG00000213760.10	0.789890500258891	1.84673776210616e-21	1	6
ENSG00000241685.9	0.789913195850229	1.8385172882641e-21	1	6
ENSG00000116473.14	0.789980808344124	1.81423799368335e-21	10	1
ENSG00000224940.8	0.790006844261349	1.8049720212679e-21	1	6
ENSG00000133612.18	0.79001829430867	1.80091162637719e-21	1	13
ENSG00000175352.10	0.790030177975954	1.79670685525832e-21	1	6
ENSG00000035141.7	0.790048733053234	1.7901606372173e-21	1	6
ENSG00000162073.13	0.790134753537588	1.76011443011464e-21	3	12
ENSG00000104412.7	0.790263482970541	1.71606440938648e-21	10	1
ENSG00000110955.8	0.790440511627552	1.6572336539783e-21	1	14
ENSG00000167641.10	0.790476719827906	1.64544475489195e-21	3	14
ENSG00000108861.8	0.790606591867343	1.60382725450877e-21	1	6
ENSG00000153823.18	0.790639909328498	1.59331675605072e-21	1	3
ENSG00000114631.10	0.790777092142419	1.55074162055953e-21	1	6
ENSG00000104907.12	0.79078630199239	1.54792328720518e-21	8	11
ENSG00000185386.14	0.790803489530203	1.5426769933847e-21	1	10
ENSG00000083290.19	0.790980083181016	1.48976558781153e-21	3	10
ENSG00000167671.11	0.791039346013315	1.47240786964678e-21	1	10
ENSG00000103266.10	0.791149102312346	1.4407788685888e-21	1	6
ENSG00000174996.11	0.79119740928551	1.42706833316606e-21	1	13
ENSG00000139726.10	0.791218332244289	1.42116941209441e-21	1	3
ENSG00000110315.6	0.791244081726777	1.41394226522687e-21	10	1
ENSG00000176485.11	0.791302090064341	1.39779168143698e-21	3	10
ENSG00000008382.15	0.791326915015833	1.39093490551035e-21	1	6
ENSG00000050748.17	0.791336606313445	1.38826700715565e-21	1	6
ENSG00000167778.8	0.791337929796515	1.38790305450445e-21	1	6
ENSG00000224051.6	0.791365172509013	1.38043199446348e-21	1	10
ENSG00000143324.13	0.791366412120603	1.38009297444825e-21	1	3
ENSG00000167971.15	0.79139841672775	1.37136804667395e-21	1	6
ENSG00000021645.18	0.791427217128089	1.3635625032638e-21	1	6
ENSG00000186111.9	0.791462959309745	1.35393564676897e-21	1	6
ENSG00000031691.6	0.791534261306452	1.33492809595476e-21	6	1
ENSG00000028839.9	0.791564080398451	1.32705616198654e-21	1	6
ENSG00000087152.15	0.791609876788335	1.31505421499436e-21	1	13
ENSG00000162704.15	0.79177345461858	1.27304085496559e-21	3	10
ENSG00000088367.21	0.792037204518659	1.20803373476799e-21	1	6
ENSG00000187147.17	0.792071789803936	1.199752594319e-21	8	12
ENSG00000103855.17	0.792097900612064	1.1935371910791e-21	1	3
